iter	Passed	Remaining
399	64598	96897
400	64779	96765
401	64943	96607
402	65106	96447
403	65260	96275
404	65455	96162
405	65613	95995
406	65791	95858
407	65963	95711
408	66137	95568
409	66268	95362
410	66442	95218
411	66594	95042
412	66757	94883
413	66929	94735
414	67100	94588
415	67280	94450
416	67457	94310
417	67642	94182
418	67829	94054
419	67983	93882
420	68153	93731
421	68325	93582
422	68502	93442
423	68672	93290
424	68803	93087
425	68955	92911
426	69102	92730
427	69269	92575
428	69441	92426
429	69598	92259
430	69781	92124
431	69925	91939
432	70107	91802
433	70288	91666
434	70458	91515
435	70612	91342
436	70775	91182
437	70940	91023
438	71098	90857
439	71261	90696
440	71428	90540
441	71588	90376
442	71734	90194
443	71907	90045
444	72050	89861
445	72204	89689
446	72351	89508
447	72505	89336
448	72670	89178
449	72838	89025
450	72988	88848
451	73138	88671
452	73301	88511
453	73477	88366
454	73622	88185
455	73774	88011
456	73907	87815
457	74062	87645
458	74237	87499
459	74408	87349
460	74564	87181
461	74734	87028
462	74889	86858
463	75047	86692
464	75206	86527
465	75374	86373
466	75535	86210
467	75689	86040
468	75854	85881
469	76044	85752
470	76162	85541
471	76317	85371
472	76474	85205
473	76644	85052
474	76810	84896
475	76962	84722
476	77117	84553
477	77297	84412
478	77476	84269
479	77648	84119
480	77815	83963
481	77970	83794
482	78119	83618
483	78270	83445
484	78440	83292
485	78584	83112
486	78752	82957
487	78922	82803
488	79075	82633
489	79249	82484
490	79418	82329
491	79583	82171
492	79742	82007
493	79917	81858
494	80072	81689
495	80210	81504
496	80346	81316
497	80484	81130
498	80633	80956
499	80803	80803
500	80943	80620
501	81100	80454
502	81283	80313
503	81440	80147
504	81619	80003
505	81779	79840
506	81935	79673
507	82110	79524
508	82272	79363
509	82449	79215
510	82621	79064
511	82771	78892
512	82936	78732
513	83094	78567
514	83273	78422
515	83431	78257
516	83599	78101
517	83770	77948
518	83925	77780
519	84085	77617
520	84217	77428
521	84382	77269
522	84537	77102
523	84721	76960
524	84873	76790
525	84994	76592
526	85156	76430
527	85312	76263
528	85479	76107
529	85649	75953
530	85819	75799
531	85968	75626
532	86122	75457
533	86273	75287
534	86422	75114
535	86579	74949
536	86743	74790
537	86920	74641
538	87075	74474
539	87252	74325
540	87409	74160
541	87569	73997
542	87748	73851
543	87910	73689
544	88093	73545
545	88266	73393
546	88423	73227
547	88592	73072
548	88770	72924
549	88936	72766
550	89091	72599
551	89255	72439
552	89415	72276
553	89570	72109
554	89746	71958
555	89907	71796
556	90075	71639
557	90248	71487
558	90422	71334
559	90562	71155
560	90714	70986
561	90879	70827
562	91057	70678
563	91217	70515
564	91385	70359
565	91524	70179
566	91695	70024
567	91870	69873
568	92025	69706
569	92197	69552
570	92375	69403
571	92535	69240
572	92727	69100
573	92903	68949
574	93070	68791
575	93192	68600
576	93342	68429
577	93502	68266
578	93662	68103
579	93847	67958
580	94011	67798
581	94162	67629
582	94334	67474
583	94470	67294
584	94618	67122
585	94760	66946
586	94905	66773
587	95052	66601
588	95235	66454
589	95384	66284
590	95547	66123
591	95684	65944
592	95863	65794
593	96051	65651
594	96208	65486
595	96382	65332
596	96525	65158
597	96694	65002
