iter	TotalF1	MultiClass
0	0.9751990739	0.9225462669
1	0.9935059048	0.7892897164
2	0.9828140597	0.6879397602
3	0.996995822	0.5987022602
4	0.9967421469	0.5247568488
5	0.9982463294	0.4617945949
6	0.9982472042	0.4113863833
7	0.9982484812	0.3661128427
8	0.9982478471	0.3268036497
9	0.9984979477	0.2922328959
10	0.9984979477	0.2627665951
11	0.9984979477	0.2360715326
12	0.9984979477	0.2135403677
13	0.9982489311	0.1925348078
14	0.9984995057	0.1739371333
15	0.9987493061	0.1571589759
16	0.9984995057	0.1426683867
17	0.9984995057	0.129541079
18	0.9987493061	0.1175986723
19	0.9987493061	0.1076749646
20	0.9987493061	0.09866444119
21	0.9987493061	0.09001114848
22	0.9987493061	0.08210219752
23	0.9987493061	0.07526620919
24	0.9989991853	0.06892252501
25	0.9989991853	0.0635462625
26	0.9989991853	0.05844485999
27	0.9989991853	0.05364903093
28	0.9989991853	0.04950107658
29	0.9992491442	0.04536376152
30	0.9992491442	0.04175426902
31	0.9992491442	0.0388198547
32	0.9992491442	0.03609053983
33	0.9992491442	0.03350026643
34	0.9992491442	0.03108144875
35	0.9992491442	0.02937465444
36	0.9992491442	0.02735181843
37	0.9992491442	0.02573260634
38	0.9992491442	0.02432498378
39	0.9989991853	0.0227398502
40	0.9989991853	0.02138135678
41	0.9989991853	0.02006190567
42	0.9989991853	0.01876586571
43	0.9989991853	0.01750472934
44	0.9992491442	0.01672962183
45	0.9992491442	0.01578568082
46	0.9992491442	0.01496085484
47	0.9992491442	0.0143994739
48	0.9992491442	0.01368274834
49	0.9992491442	0.01310924703
50	0.9992491442	0.01253890694
51	0.9992491442	0.01198718834
52	0.9992491442	0.0113775414
53	0.9992491442	0.01131949714
54	0.9992491442	0.01093739771
55	0.9992491442	0.01064453685
56	0.9992491442	0.01030987281
57	0.9992491442	0.009964488234
58	0.9992491442	0.009524449915
59	0.9992491442	0.009304092839
60	0.9992491442	0.009059397595
61	0.9992491442	0.008876125689
62	0.9992491442	0.008602920206
63	0.9992491442	0.008243862409
64	0.9992491442	0.008106729871
65	0.9992491442	0.007927312727
66	0.9992491442	0.007859781074
67	0.9992491442	0.007621603481
68	0.9992491442	0.00746147662
69	0.9992491442	0.007375302021
70	0.9992491442	0.007240034847
71	0.9992491442	0.007113948852
72	0.9992491442	0.006957397239
73	0.9992491442	0.006665983825
74	0.9992491442	0.006561219498
75	0.9992491442	0.006548739784
76	0.9992491442	0.006525000427
77	0.9992491442	0.006410779901
78	0.9992491442	0.00622152656
79	0.9992491442	0.006118788059
80	0.9992491442	0.006045345651
81	0.9994996407	0.00596889442
82	0.9994996407	0.005951365239
83	0.9994996407	0.005915440684
84	0.9994996407	0.005901305049
85	0.9994996407	0.005874476889
86	0.9994996407	0.005777756121
87	0.9994996407	0.005690321319
88	0.9994996407	0.005652927998
89	0.9994996407	0.005496981151
90	0.9994996407	0.005468211227
91	0.9994996407	0.005414517143
92	0.9994996407	0.005325004753
93	0.9994996407	0.005158484613
94	0.9994996407	0.005142263689
95	0.9994996407	0.005058977984
96	0.9994996407	0.004956210429
97	0.9994996407	0.004924054515
98	0.9994996407	0.004895939877
99	0.9994996407	0.004844969982
100	0.9994996407	0.004816187447
101	0.9994996407	0.004810388896
102	0.9994996407	0.004760874859
103	0.9994996407	0.004739805758
104	0.9994996407	0.004723768615
105	0.9994996407	0.004571732178
106	0.9994996407	0.004558980832
107	0.9997499103	0.004521158483
108	0.9997499103	0.004459363326
109	0.9997499103	0.00444851014
110	0.9997499103	0.004355641303
111	0.9997499103	0.004315132593
112	0.9997499103	0.004308876229
113	0.9997499103	0.004262207616
114	0.9997499103	0.004195937682
115	0.9997499103	0.004143378261
116	0.9997499103	0.004122877935
117	0.9997499103	0.004065493213
118	0.9997499103	0.004005736412
119	0.9997499103	0.003995788118
120	0.9997499103	0.003947349237
121	0.9997499103	0.00394106435
122	0.9997499103	0.003909690932
123	0.9997499103	0.003896943802
124	0.9997499103	0.00384224605
125	0.9997499103	0.003837663895
126	0.9997499103	0.00382356508
127	0.9997499103	0.003783324609
128	0.9997499103	0.003769175411
129	0.9997499103	0.003737278886
130	0.9997499103	0.003728627799
131	0.9997499103	0.003717480777
132	0.9997499103	0.003701649136
133	0.9997499103	0.003676098015
134	0.9997499103	0.003632618485
135	0.9997499103	0.003560630879
136	0.9997499103	0.003528116326
137	0.9997499103	0.003474880212
138	0.9997499103	0.003460855846
139	0.9997499103	0.003418474857
140	0.9997499103	0.003384777159
141	0.9997499103	0.003381735792
142	0.9997499103	0.0033536224
143	0.9997499103	0.003337571749
144	0.9997499103	0.003330425855
145	0.9997499103	0.003313377713
146	0.9997499103	0.003290160318
147	0.9997499103	0.003283379766
148	0.9997499103	0.003256611108
149	0.9997499103	0.003223821619
150	0.9997499103	0.003198012664
151	0.9997499103	0.003172004056
152	0.9997499103	0.003141311364
153	0.9997499103	0.003130182975
154	0.9997499103	0.003085032184
155	0.9997499103	0.003079447239
156	0.9997499103	0.003071584347
157	1	0.00304658489
158	1	0.003037405673
159	1	0.003034294196
160	1	0.003027719447
161	1	0.003023159909
162	1	0.002977492762
163	1	0.00295120502
164	1	0.002939819574
165	1	0.002928240721
166	1	0.002921987496
167	1	0.002864224893
168	1	0.002831393592
169	1	0.00281365561
170	1	0.002809564582
171	1	0.002782420371
172	1	0.002770551096
173	1	0.002735982461
174	1	0.002689637369
175	1	0.002680186078
176	1	0.002675623213
177	1	0.00264921934
178	1	0.002613242037
179	1	0.002609020761
180	1	0.002589000018
181	1	0.002556005444
182	1	0.002524763022
183	1	0.002507653078
184	1	0.002492029655
185	1	0.002479049809
186	1	0.00246224579
187	1	0.002432305071
188	1	0.002413253073
189	1	0.002409566352
190	1	0.002386478796
191	1	0.00238332684
192	1	0.002376168017
193	1	0.002356272054
194	1	0.002351657062
195	1	0.002337674216
196	1	0.002333429656
197	1	0.002320273364
198	1	0.002305710961
199	1	0.002303828093
200	1	0.002300775388
201	1	0.002296887116
202	1	0.002284271133
203	1	0.002281369613
204	1	0.002260545311
205	1	0.002257971151
206	1	0.002234985713
207	1	0.002230269187
